epoch,loss_G,loss_G_AB,loss_G_BA,loss_cyc,loss_id,loss_D,loss_D_A,loss_D_B,lr_G,lr_D
1,17.515010697501047,1.9991959163120814,2.2439446364130293,0.9627031769071307,0.7289676410811288,0.5299898939473289,0.5293178664786475,0.5306619320596967,0.0002,0.0002
2,9.16213253566197,1.954261098589216,1.8378828763961792,0.4102576119559152,0.2534824865204947,0.11310728426490511,0.1388306628380503,0.08738390941705022,0.0002,0.0002
3,6.98516184943063,2.073017426899501,1.671883157321385,0.24925227888992854,0.1495476993066924,0.1272417620888778,0.06980192686231541,0.18468159756490163,0.0002,0.0002
4,5.698765822819301,1.3526271070752824,1.7635289430618286,0.20469519921711513,0.10713154290403638,0.10249135217496327,0.1213374212384224,0.08364528311150414,0.0002,0.0002
5,6.690342017582485,1.9801511764526367,2.273968458175659,0.20333092766148703,0.0805826165846416,0.1871108231799943,0.25333721722875324,0.1208844291312354,0.0002,0.0002
6,5.840905461992536,2.775864226477487,1.2741402898515974,0.14278907115970338,0.07260204585535186,0.1476597636938095,0.08540512514965874,0.2099144011735916,0.0002,0.0002
7,5.4242958681924005,2.402442080633981,1.4753990428788322,0.12561617365905217,0.05805862482104983,0.17540561673896654,0.07875915842929057,0.27205208050353186,0.0002,0.0002
8,5.38566609791347,2.1758510044642856,1.5076093503407069,0.14268856814929418,0.05506397996629987,0.1508754731288978,0.0667499452829361,0.2350010041679655,0.0002,0.0002
9,4.64220472744533,1.719602448599679,1.6437043632779802,0.10167335186685834,0.05243288725614548,0.21089837380817958,0.1505019659442561,0.27129477901118143,0.0002,0.0002
10,5.054018429347447,2.1066625118255615,1.3875747408185686,0.12977994020496095,0.05239634535142353,0.1199858124767031,0.06788423378020525,0.17208739050797053,0.0002,0.0002
11,5.696373973573957,2.2627454144614085,1.9285744769232613,0.12374401837587357,0.05352275925023215,0.308623162231275,0.20255637328539575,0.41468995809555054,0.0002,0.0002
12,4.336249658039638,1.7130025795527868,1.3740785462515694,0.09955887922218867,0.050715938210487366,0.1231203403856073,0.05698514756347452,0.18925553507038526,0.0002,0.0002
13,3.673119238444737,1.1024789128984724,1.5304946388517107,0.08333953150681087,0.04135008103081158,0.08514559002859252,0.08755362007234778,0.08273755945265293,0.0002,0.0002
14,3.72139995438712,1.3407330513000488,1.3935635260173254,0.07802330063922065,0.04137405966009412,0.18288684529917582,0.11732547783425876,0.24844821010317122,0.0002,0.0002
15,3.5861282689230785,1.0250168357576643,1.6667845249176025,0.07186481516276087,0.03513576090335846,0.10881867579051427,0.08534782260124173,0.13228952778237207,0.0002,0.0002
16,3.6599643571036204,0.9079617432185582,1.8300403186253138,0.07340530465756144,0.03758187325937407,0.1364639869758061,0.18639894042696273,0.08652903246028083,0.0002,0.0002
17,2.248514379773821,0.6002829883779798,0.7374849085296903,0.07253850783620562,0.03707228175231388,0.38187090839658466,0.49337585483278545,0.27036595344543457,0.0002,0.0002
18,1.287989820752825,0.3807263672351837,0.2612338640860149,0.04895884437220437,0.031288227598582,0.24852558544703893,0.25696492195129395,0.24008624255657196,0.0002,0.0002
19,1.263568367276873,0.45928708144596647,0.24920318382126944,0.040755284684044976,0.02950505114027432,0.23829944006034307,0.252187396798815,0.22441148332187108,0.0002,0.0002
20,1.2574369055884225,0.45588934421539307,0.24940031554017747,0.04054259402411325,0.02934425856385912,0.24015539033072336,0.25213685631752014,0.22817392434392655,0.0002,0.0002
21,1.2178760085787093,0.46007717507226126,0.25022047970976147,0.03652901042784963,0.02845765490617071,0.23760278522968292,0.2521809296948569,0.22302464289324625,0.0002,0.0002
22,1.2989683321544103,0.545464141028268,0.24864948434489115,0.036258374473878315,0.028454197304589406,0.23339314333030156,0.25225270645959036,0.21453357381480082,0.0002,0.0002
23,1.3527376311165946,0.5601157077721187,0.24912924425942556,0.039640121161937714,0.02941829657980374,0.2565652770655496,0.2524047579084124,0.260725804737636,0.0002,0.0002
24,1.0692225183759416,0.38990469915526255,0.2493607380560466,0.030571486268724715,0.024848447048238347,0.22356077815805162,0.2523303074496133,0.1947912403515407,0.0002,0.0002
25,1.3052974258150374,0.5855135704789843,0.24966498357909067,0.034147615411451886,0.025728539962853705,0.212304664509637,0.2516755759716034,0.17293375304767064,0.0002,0.0002
26,1.469408290726798,0.7153057030269078,0.2507173738309315,0.03628770501485893,0.02810162997671536,0.21260516771248408,0.2516368499823979,0.1735734843782016,0.0002,0.0002
27,1.1531270486967904,0.4606848188808986,0.25100148149899076,0.031533460531915934,0.02522122673690319,0.23022784292697906,0.2512114516326359,0.20924422783511026,0.0002,0.0002
28,1.4833079065595354,0.7744349922452655,0.2508804670401982,0.03328298085502216,0.025032528276954378,0.25631926315171377,0.2513530594961984,0.26128546042101725,0.0002,0.0002
29,1.2453602041516985,0.5550017697470528,0.25087897053786684,0.03187233582139015,0.024151223844715526,0.2281690878527505,0.2510309879268919,0.20530718990734645,0.0002,0.0002
30,1.3975650412695748,0.676297013248716,0.2506282648869923,0.03426050926957812,0.025606935311641012,0.20686538517475128,0.2517207818371909,0.16200998851231166,0.0002,0.0002
31,1.5267762882368905,0.7388314689908709,0.2619628735951015,0.03841787789549146,0.028360637969204357,0.21953771156924112,0.2586816038404192,0.18039382568427495,0.0002,0.0002
32,1.746117183140346,0.9725496854100909,0.2530753718955176,0.03763453130211149,0.02882936117904527,0.15496122198445456,0.2543631536620004,0.05555928950863225,0.0002,0.0002
