wavelength_um,NIRISS_SOSS,NIRCam_GRISM,NIRSpec_G395H,NIRSpec_PRISM
2.861689451535732,,0.0004817673358940154,,3.4848610630328407e-08
2.8616752461330384,,0.0004817349966632376,,3.484890143225772e-08
2.861661040730345,,0.00048170265743246077,,3.4849192234187026e-08
2.8616468353276514,,0.00048167031820168295,,3.484948303611634e-08
2.8616326299249577,,0.00048163797897090514,,3.484977383804566e-08
2.8616184245222644,,0.00048160563974012835,,3.485006463997497e-08
2.8616042191195707,,0.0004815733005093505,,3.4850355441904283e-08
2.861590013716877,,0.00048154096127857267,,3.48506462438336e-08
2.861575808314184,,0.0004815086220477959,,3.485093704576291e-08
2.86156160291149,,0.00048147628281701806,,3.4851227847692225e-08
2.8615473975087964,,0.00048144394358624025,,3.485151864962154e-08
2.8615331921061027,,0.0004814116043554624,,3.485180945155086e-08
2.8615189867034094,,0.0004813450660351129,,3.485210025348016e-08
2.8615047813007157,,0.0004812327188325764,,3.4852391055409476e-08
2.861490575898022,,0.00048112037163003987,,3.485268185733879e-08
2.8614763704953288,,0.0004810080244275069,,3.48529726592681e-08
2.861462165092635,,0.0004808956772249704,,3.485326346119742e-08
2.8614479596899414,,0.0004807833300224339,,3.4853554263126734e-08
2.861433754287248,,0.00048067098281990087,,3.4853845065056044e-08
2.8614195488845544,,0.00048055863561736437,,3.485413586698536e-08
2.8614053434818607,,0.00048044628841482787,,3.4854426668914676e-08
2.8613911380791675,,0.0004803339412122949,,3.485471747084398e-08
2.8613769326764737,,0.0004802215940097584,,3.4855008272773295e-08
2.86136272727378,,0.00048010924680722184,,3.485529907470261e-08
2.861348521871087,,0.00047999689960468887,,3.485558987663192e-08
2.861334316468393,,0.00047988455240215237,,3.485588067856124e-08
2.8613201110656994,,0.00047977220519961587,,3.485617148049055e-08
2.861305905663006,,0.00047965985799708284,,3.485646228241986e-08
2.8612917002603124,,0.00047954751079454634,,3.485675308434918e-08
2.8612774948576187,,0.00047943516359200985,,3.4857043886278495e-08
2.861263289454925,,0.00047932281638947335,,3.485733468820781e-08
2.8612490840522318,,0.00047921046918694037,,3.4857625490137114e-08
2.861234878649538,,0.0004790981219844038,,3.485791629206643e-08
2.8612206732468444,,0.0004789857747818673,,3.4858207093995746e-08
2.861206467844151,,0.00047887342757933435,,3.4858497895925055e-08
2.8611922624414574,,0.00047876108037679785,,3.485878869785437e-08
2.8611780570387637,,0.00047864873317426135,,3.485907949978369e-08
2.8611638516360705,,0.0004785363859717283,,3.4859370301713e-08
2.8611496462333768,,0.0004784240387691918,,3.485966110364231e-08
2.861135440830683,,0.0004783116915666553,,3.485995190557163e-08
2.86112123542799,,0.00047819934436412235,,3.486024270750093e-08
2.861107030025296,,0.0004780869971615858,,3.486053350943025e-08
2.8610928246226024,,0.0004779746499590493,,3.4860824311359564e-08
2.861078619219909,,0.0004778623027565163,,3.4861115113288874e-08
2.8610644138172154,,0.0004777499555539798,,3.486140591521819e-08
2.8610502084145217,,0.0004776376083514433,,3.4861696717147506e-08
2.861036003011828,,0.00047752526114890677,,3.486198751907682e-08
2.8610217976091348,,0.0004774129139463738,,3.486227832100613e-08
2.861007592206441,,0.0004773005667438373,,3.486256912293545e-08
2.8609933868037474,,0.0004771882195413008,,3.4862859924864764e-08
2.860979181401054,,0.00047707587233876777,,3.486315072679407e-08
2.8609649759983604,,0.0004769635251362313,,3.486344152872338e-08
2.8609507705956667,,0.0004768511779336948,,3.48637323306527e-08
2.8609365651929735,,0.0004767388307311618,,3.486402313258201e-08
2.8609223597902798,,0.00047662648352862525,,3.4864313934511325e-08
2.860908154387586,,0.00047651413632608875,,3.486460473644064e-08
2.860893948984893,,0.0004764017891235558,,3.486489553836995e-08
2.860879743582199,,0.0004762894419210193,,3.4865186340299266e-08
2.8608655381795054,,0.0004761770947184828,,3.486547714222858e-08
2.860851332776812,,0.00047606474751594975,,3.4865767944157885e-08
2.8608371273741184,,0.00047595240031341325,,3.48660587460872e-08
2.8608229219714247,,0.00047584005311087675,,3.486634954801652e-08
2.8608087165687315,,0.0004757277059083438,,3.486664034994583e-08
2.860794511166038,,0.0004756153587058072,,3.486693115187514e-08
2.860780305763344,,0.0004755030115032707,,3.486722195380446e-08
2.8607661003606504,,0.0004753906643007342,,3.4867512755733775e-08
2.860751894957957,,0.00047527831709820125,,3.4867803557663085e-08
2.8607376895552634,,0.00047516596989566475,,3.48680943595924e-08
2.8607234841525697,,0.0004750536226931282,,3.486838516152172e-08
2.8607092787498765,,0.0004749412754905952,,3.486867596345102e-08
2.8606950733471828,,0.00047482892828805873,,3.4868966765380336e-08
2.860680867944489,,0.00047471658108552223,,3.486925756730965e-08
2.860666662541796,,0.0004746042338829892,,3.486954836923896e-08
2.860652457139102,,0.0004744918866804527,,3.486983917116828e-08
2.8606382517364084,,0.0004743795394779162,,3.4870129973097594e-08
2.860624046333715,,0.00047426719227538323,,3.4870420775026903e-08
2.8606098409310214,,0.00047415484507284673,,3.487071157695622e-08
2.8605956355283277,,0.0004740424978703102,,3.4871002378885536e-08
2.8605814301256345,,0.0004739301506677772,,3.487129318081484e-08
2.860567224722941,,0.0004738178034652407,,3.4871583982744155e-08
2.860553019320247,,0.00047378411007498075,,3.487187478467347e-08
2.860538813917554,,0.00047393169809556717,,3.487216558660278e-08
2.86052460851486,,0.0004740792861161582,,3.4872456388532096e-08
2.8605104031121664,,0.00047422687413674927,,3.487274719046141e-08
2.8604961977094727,,0.0004743744621573403,,3.487303799239073e-08
2.8604819923067795,,0.0004745220501779267,,3.487332879432004e-08
2.8604677869040858,,0.00047466963819851773,,3.4873619596249354e-08
2.860453581501392,,0.0004748172262191088,,3.487391039817867e-08
