instrument,wavelength_um,flux_mjy
NIRISS_SOSS,0.8750000000000003,0.08153787854755819
NIRISS_SOSS,0.9250000000000004,0.08280138662068023
NIRISS_SOSS,0.9750000000000004,0.08371551243525847
NIRISS_SOSS,1.0250000000000004,0.08448907813748914
NIRISS_SOSS,1.0750000000000004,0.08273404649008352
NIRISS_SOSS,1.1250000000000004,0.08355606364041075
NIRISS_SOSS,1.1750000000000005,0.08360134172169571
NIRISS_SOSS,1.2250000000000005,0.08381781303473568
NIRISS_SOSS,1.2750000000000006,0.083431264103577
NIRISS_SOSS,1.3250000000000006,0.08318107776203801
NIRISS_SOSS,1.3750000000000007,0.08275603220489543
NIRISS_SOSS,1.4250000000000007,0.08211205300287183
NIRISS_SOSS,1.4750000000000008,0.08125081549977814
NIRISS_SOSS,1.5250000000000008,0.0809486868753905
NIRISS_SOSS,1.5750000000000008,0.07879710324041206
NIRISS_SOSS,1.6250000000000009,0.07786012258535822
NIRISS_SOSS,1.675000000000001,0.07603925955283904
NIRISS_SOSS,1.725000000000001,0.07247918397421789
NIRISS_SOSS,1.775000000000001,0.06963575187791862
NIRISS_SOSS,1.825000000000001,0.06662719255389397
NIRISS_SOSS,1.875000000000001,0.06325163365411433
NIRISS_SOSS,1.9250000000000012,0.06136537459086146
NIRISS_SOSS,1.9750000000000012,0.05909468005651653
NIRISS_SOSS,2.0250000000000012,0.05774006336608012
NIRISS_SOSS,2.0750000000000015,0.05508163070100539
NIRISS_SOSS,2.1250000000000013,0.05300361828715698
NIRISS_SOSS,2.175000000000001,0.04962990444581452
NIRISS_SOSS,2.2250000000000014,0.04812686265090514
NIRISS_SOSS,2.2750000000000017,0.046174274633142054
NIRISS_SOSS,2.3250000000000015,0.04396516865731253
NIRISS_SOSS,2.3750000000000013,0.04219611217596811
NIRISS_SOSS,2.4250000000000016,0.040573497064568136
NIRISS_SOSS,2.475000000000002,0.0393615602310456
NIRISS_SOSS,2.5250000000000017,0.03798200361698587
NIRISS_SOSS,2.5750000000000015,0.035990236707068295
NIRISS_SOSS,2.6250000000000018,0.03447921985767713
NIRISS_SOSS,2.675000000000002,0.033377049796034175
NIRISS_SOSS,2.725000000000002,0.031697866918558755
NIRISS_SOSS,2.7750000000000017,0.029925915620066953
NIRISS_SOSS,2.825000000000002,0.029132713044616912
NIRCam_GRISM,2.4250000000000016,0.0007269947702169418
NIRCam_GRISM,2.475000000000002,0.0009376890838384628
NIRCam_GRISM,2.5250000000000017,0.0010197599174797535
NIRCam_GRISM,2.5750000000000015,0.0010881760343909262
NIRCam_GRISM,2.6250000000000018,0.001231936675286293
NIRCam_GRISM,2.675000000000002,0.0013140409521579743
NIRCam_GRISM,2.725000000000002,0.00133147769895792
NIRCam_GRISM,2.7750000000000017,0.0013106090316534042
NIRCam_GRISM,2.825000000000002,0.0013088568530321121
NIRCam_GRISM,2.875000000000002,0.001346012221956253
NIRCam_GRISM,2.925000000000002,0.001370535528731346
NIRCam_GRISM,2.975000000000002,0.0014038220213890074
NIRCam_GRISM,3.025000000000002,0.0014374581644058227
NIRCam_GRISM,3.0750000000000024,0.001456998731970787
NIRCam_GRISM,3.125000000000002,0.0014695720526218415
NIRCam_GRISM,3.175000000000002,0.0014774194017887115
NIRCam_GRISM,3.2250000000000023,0.0014636281045794486
NIRCam_GRISM,3.2750000000000026,0.0014468602437496185
NIRCam_GRISM,3.3250000000000024,0.0014781398820638658
NIRCam_GRISM,3.375000000000002,0.0014925175656914712
NIRCam_GRISM,3.4250000000000025,0.001468025193285942
NIRCam_GRISM,3.4750000000000028,0.0014593796479463578
NIRCam_GRISM,3.5250000000000026,0.0014198035492181777
NIRCam_GRISM,3.5750000000000024,0.0013906197657823562
NIRCam_GRISM,3.6250000000000027,0.0013621094889163972
NIRCam_GRISM,3.675000000000003,0.0013112084859609602
NIRCam_GRISM,3.7250000000000028,0.001266454958820343
NIRCam_GRISM,3.7750000000000026,0.0012314913858890533
NIRCam_GRISM,3.825000000000003,0.0011729192097365854
NIRCam_GRISM,3.875000000000003,0.0010720249315857885
NIRCam_GRISM,3.925000000000003,0.0010548293741345404
NIRCam_GRISM,3.9750000000000028,0.0007472057729363442
NIRCam_GRISM,4.025000000000004,0.00017702142560482024
NIRCam_GRISM,4.075000000000004,2.4561131593585012e-05
NIRCam_GRISM,4.1250000000000036,3.085587581992149e-06
NIRCam_GRISM,4.175000000000003,7.135235488414764e-07
NIRCam_GRISM,4.225000000000003,2.8534102365374563e-07
NIRCam_GRISM,4.275000000000004,2.3834470435976983e-07
NIRCam_GRISM,4.325000000000004,1.5603525936603546e-07
