instrument,wavelength_um,normalized_flux,median_flux_mjy
NIRISS_SOSS,2.8283557913681623,0.48463840228635013,0.03200015040987018
NIRISS_SOSS,2.8273683446051003,0.4866242215306727,0.03213127191036487
NIRISS_SOSS,2.826380859399971,0.41760686661723223,0.027574130487600462
NIRISS_SOSS,2.8253933380815317,0.43714509153049397,0.028864218382031973
NIRISS_SOSS,2.824405780294838,0.44121141067683906,0.029132713044616912
NIRISS_SOSS,2.823418186425521,0.4400478523795975,0.029055884546613606
NIRISS_SOSS,2.822430556654193,0.43937096309800283,0.02901119027822779
NIRISS_SOSS,2.8214428912170924,0.4384265512062822,0.028948831780755538
NIRISS_SOSS,2.8204551903343646,0.4377980247572338,0.028907330857982506
NIRISS_SOSS,2.819467454229763,0.4121423167756119,0.02721331216195989
NIRISS_SOSS,2.8184796831252505,0.4425208474471935,0.02921917374068614
NIRISS_SOSS,2.817491877242476,0.4197733910447921,0.02771718375622611
NIRISS_SOSS,2.8165040368023733,0.4407320043029853,0.02910105835939511
NIRISS_SOSS,2.81551616202527,0.442573376240583,0.029222642160195166
NIRISS_SOSS,2.81452825313086,0.44053943781444144,0.029088343402082127
NIRISS_SOSS,2.8135403103382126,0.43991750662144224,0.02904727795694473
NIRISS_SOSS,2.8125523338657694,0.43802901265832844,0.028922582739680323
NIRISS_SOSS,2.8115643239313477,0.4360733351390879,0.02879345146474697
NIRISS_SOSS,2.8105762807521404,0.4419364743519211,0.029180588216187922
NIRISS_SOSS,2.809588204544715,0.43198202557501336,0.028523306711863004
NIRISS_SOSS,2.808600095525019,0.4444159099681624,0.029344302672733257
NIRISS_SOSS,2.8076119539083773,0.45225750959085814,0.02986207502877528
NIRISS_SOSS,2.806623779909491,0.45208381811241194,0.029850606367998567
NIRISS_SOSS,2.8056355737424434,0.44869316890851046,0.02962672546215189
NIRISS_SOSS,2.804647335620699,0.44998467150153626,0.029712001983856713
NIRISS_SOSS,2.803659065757101,0.44403936775970215,0.029319439997283793
NIRISS_SOSS,2.802670764363877,0.44129455010053,0.02913820265099261
NIRISS_SOSS,2.8016824316526363,0.4432488850016033,0.029267245274298085
NIRISS_SOSS,2.800694067834373,0.4444220893140126,0.02934471068826754
NIRISS_SOSS,2.7997056731194645,0.44436188789659875,0.029340735653678774
NIRISS_SOSS,2.798717247717676,0.44349337578537934,0.02928338873675948
